execution_time_ms,platform,version
481.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
347.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
300.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
289.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
289.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
287.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
289.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
283.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
285.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
305.0,Intel(R) Iris(TM) Plus Graphics 640,OpenCL
2315.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2405.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2393.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2344.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2273.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2297.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2285.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2443.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2431.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
2540.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
1135.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
800.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
816.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
962.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
972.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
953.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
932.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
825.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
810.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
818.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
524.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
467.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
451.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
449.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
506.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
432.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
432.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
436.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
434.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
432.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
247.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenMP
216.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenMP
213.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenMP
216.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenMP
226.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenMP
219.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenMP
214.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenMP
