version,platform,execution_time_ms
SYCL,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,58600.0
SYCL,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,58609.0
SYCL,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,59390.0
SYCL,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,62158.0
SYCL,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,58818.0
SYCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,5540.0
SYCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,5562.0
SYCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,5519.0
SYCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,5456.0
SYCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,5507.0
OpenCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,8793.0
OpenCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,8678.0
OpenCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,9675.0
OpenCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,8891.0
OpenCL,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,8643.0
OpenCL,Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,70823.0
OpenCL,Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,67613.0
OpenCL,Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,67334.0
OpenCL,Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,67652.0
OpenCL,Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,70913.0
